2026-04-01 23:31:04 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2026-04-01 23:31:04 [main] INFO  org.ruoyi.RuoYiAIApplication - Starting RuoYiAIApplication using Java 17.0.18 with PID 1334004 (/home/ubuntu/projects/wande-ai-backend/ruoyi-admin/target/ruoyi-admin.jar started by ubuntu in /home/ubuntu/projects/.github)
2026-04-01 23:31:04 [main] INFO  org.ruoyi.RuoYiAIApplication - The following 1 profile is active: "dev"
2026-04-01 23:31:09 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2026-04-01 23:31:09 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2026-04-01 23:31:09 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2026-04-01 23:36:29 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2026-04-01 23:36:29 [main] INFO  org.ruoyi.RuoYiAIApplication - Starting RuoYiAIApplication using Java 17.0.18 with PID 1344877 (/apps/wande-ai-backend/ruoyi-admin.jar started by ubuntu in /home/ubuntu/projects/.github)
2026-04-01 23:36:29 [main] INFO  org.ruoyi.RuoYiAIApplication - The following 1 profile is active: "dev"
2026-04-01 23:36:34 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2026-04-01 23:36:34 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2026-04-01 23:36:34 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2026-04-01 23:36:34 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection org.postgresql.jdbc.PgConnection@1ae9cfca
2026-04-01 23:36:34 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2026-04-01 23:36:34 [main] INFO  com.zaxxer.hikari.HikariDataSource - wande - Starting...
2026-04-01 23:36:34 [main] INFO  com.zaxxer.hikari.pool.HikariPool - wande - Added connection org.postgresql.jdbc.PgConnection@6d67e03
2026-04-01 23:36:34 [main] INFO  com.zaxxer.hikari.HikariDataSource - wande - Start completed.
2026-04-01 23:36:34 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2026-04-01 23:36:34 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [wande] success
2026-04-01 23:36:34 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2026-04-01 23:36:38 [main] INFO  o.ruoyi.workflow.config.BeanConfig - Configuration:create objectMapper
2026-04-01 23:36:38 [main] INFO  o.r.common.redis.config.RedisConfig - 初始化 redis 配置
2026-04-01 23:36:38 [main] INFO  org.redisson.Version - Redisson 3.20.1
2026-04-01 23:36:38 [redisson-netty-2-6] INFO  o.r.c.p.MasterPubSubConnectionPool - 1 connections initialized for localhost/127.0.0.1:6380
2026-04-01 23:36:38 [redisson-netty-2-4] INFO  o.r.c.pool.MasterConnectionPool - 8 connections initialized for localhost/127.0.0.1:6380
2026-04-01 23:36:39 [main] INFO  o.r.c.core.config.ThreadPoolConfig - ====创建定时任务线程池====
2026-04-01 23:36:39 [main] INFO  o.r.s.s.VectorStoreStrategyFactory - 向量库策略工厂初始化完成，支持的策略: [weaviate, milvus]
2026-04-01 23:36:39 [main] INFO  o.r.common.json.config.JacksonConfig - 初始化 jackson 配置
2026-04-01 23:36:40 [main] INFO  o.r.c.core.config.ThreadPoolConfig - ====创建任务调度器 ThreadPoolTaskScheduler====
2026-04-01 23:36:40 [main] INFO  o.r.g.factory.GraphLLMServiceFactory - 注册图谱LLM服务: category=deepseek, service=DeepSeekGraphLLMServiceImpl
2026-04-01 23:36:40 [main] INFO  o.r.g.factory.GraphLLMServiceFactory - 注册图谱LLM服务: category=dify, service=DifyGraphLLMServiceImpl
2026-04-01 23:36:40 [main] INFO  o.r.g.factory.GraphLLMServiceFactory - 注册图谱LLM服务: category=openai, service=OpenAIGraphLLMServiceImpl
2026-04-01 23:36:40 [main] INFO  o.r.g.factory.GraphLLMServiceFactory - 注册图谱LLM服务: category=qwen, service=QwenGraphLLMServiceImpl
2026-04-01 23:36:40 [main] INFO  o.r.g.factory.GraphLLMServiceFactory - 注册图谱LLM服务: category=zhipu, service=ZhipuGraphLLMServiceImpl
2026-04-01 23:36:40 [main] INFO  o.r.g.factory.GraphLLMServiceFactory - 图谱LLM服务工厂初始化完成，共注册 5 个服务
2026-04-01 23:36:40 [main] INFO  o.ruoyi.workflow.config.BeanConfig - Configuration:create restTemplate
2026-04-01 23:36:43 [main] INFO  o.r.w.c.s.impl.CopywriterServiceImpl - CopywriterServiceImpl initialized
2026-04-01 23:36:44 [main] INFO  o.ruoyi.workflow.config.BeanConfig - mainExecutor,processorsNum:48
2026-04-01 23:36:44 [main] INFO  o.ruoyi.workflow.config.BeanConfig - imagesExecutor corePoolSize:48,maxPoolSize:96
2026-04-01 23:36:46 [main] INFO  o.n.driver.internal.DriverFactory - Direct driver instance 284325832 created for server address localhost:7687
2026-04-01 23:36:46 [main] INFO  io.undertow - starting server: Undertow - 2.3.18.Final
2026-04-01 23:36:46 [main] INFO  org.xnio - XNIO version 3.8.16.Final
2026-04-01 23:36:46 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.16.Final
2026-04-01 23:36:46 [main] INFO  org.jboss.threads - JBoss Threads version 3.5.0.Final
2026-04-01 23:36:46 [main] INFO  org.ruoyi.RuoYiAIApplication - Started RuoYiAIApplication in 18.382 seconds (process running for 18.9)
2026-04-01 23:36:46 [main] INFO  o.r.c.c.l.WebSocketTopicListener - 初始化WebSocket主题订阅监听器成功
2026-04-01 23:36:47 [main] INFO  o.r.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2026-04-01 23:36:53 [XNIO-1 task-2] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-01 23:36:59 [XNIO-1 task-2] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-01 23:36:59 [XNIO-1 task-5] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-01 23:36:59 [XNIO-1 task-4] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-01 23:36:59 [XNIO-1 task-3] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-01 23:36:59 [XNIO-1 task-6] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-01 23:37:00 [XNIO-1 task-6] INFO  o.r.c.s.listener.UserActionListener - user doLogin, userId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJ2d1c5TEVSOHpCbE5vZlRjN0hVTTlxTjVTQ0xzdUZOVSIsInRlbmFudElkIjoiMDAwMDAiLCJ1c2VySWQiOjF9.XK9fi9RofPcxrjo3-fb0JioPzVoM8HFpacmFjmm3DPM
2026-04-01 23:37:00 [XNIO-1 task-4] INFO  o.r.c.s.listener.UserActionListener - user doLogin, userId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJWM0V6eFpkeFp6eTVob01zTllwaFZrSk1rbzhValhhMCIsInRlbmFudElkIjoiMDAwMDAiLCJ1c2VySWQiOjF9.qOYqjCH7krQLuzMybe4qbypsG82xvvdYMwVEP9X-zVg
2026-04-01 23:37:00 [XNIO-1 task-3] INFO  o.r.c.s.listener.UserActionListener - user doLogin, userId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJNbVF5cTFieWZnTmJHNlhaZUJWdGZacDhrZXZFWVpSVCIsInRlbmFudElkIjoiMDAwMDAiLCJ1c2VySWQiOjF9.DTEyah8QRN7E37RIwTcxg-PBNNkdC4hvfJoBvBrRgeU
2026-04-01 23:37:00 [XNIO-1 task-2] INFO  o.r.c.s.listener.UserActionListener - user doLogin, userId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJBRjhnUUlFSWpaRjdaWGZ4dlllODBZc1dIRDZkejY3QSIsInRlbmFudElkIjoiMDAwMDAiLCJ1c2VySWQiOjF9.7klacj-LjSxpgHBAO-yuhOWRSYKkRR1bW3cPNpYMj9w
2026-04-01 23:37:00 [XNIO-1 task-5] INFO  o.r.c.s.listener.UserActionListener - user doLogin, userId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJ1dk1haWl0SndFQjd6M29aS2JBSXFXQ2xnb0N4dVZobCIsInRlbmFudElkIjoiMDAwMDAiLCJ1c2VySWQiOjF9.upCMaWMNEUNWH7oXSjcZS9KFlpzodap4vBCAQ2vr7KI
2026-04-01 23:37:00 [XNIO-1 task-4] INFO  o.r.c.s.listener.UserActionListener - user doLogout, userId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJqOFVrelFBQlZWOTNuYWlJbzlFSkREcjJ3MEpVV3JaMiIsInRlbmFudElkIjoiMDAwMDAiLCJ1c2VySWQiOjF9._9DFzkq-W5KH5S-DK7_m_jUE4uz_kkGOlvwO_fDXMjQ
2026-04-01 23:37:00 [XNIO-1 task-6] INFO  o.r.c.s.listener.UserActionListener - user doLogout, userId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJqOFVrelFBQlZWOTNuYWlJbzlFSkREcjJ3MEpVV3JaMiIsInRlbmFudElkIjoiMDAwMDAiLCJ1c2VySWQiOjF9._9DFzkq-W5KH5S-DK7_m_jUE4uz_kkGOlvwO_fDXMjQ
2026-04-01 23:37:00 [XNIO-1 task-2] INFO  o.r.c.s.listener.UserActionListener - user doLogout, userId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJqOFVrelFBQlZWOTNuYWlJbzlFSkREcjJ3MEpVV3JaMiIsInRlbmFudElkIjoiMDAwMDAiLCJ1c2VySWQiOjF9._9DFzkq-W5KH5S-DK7_m_jUE4uz_kkGOlvwO_fDXMjQ
2026-04-01 23:37:00 [XNIO-1 task-3] INFO  o.r.c.s.listener.UserActionListener - user doLogout, userId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJqOFVrelFBQlZWOTNuYWlJbzlFSkREcjJ3MEpVV3JaMiIsInRlbmFudElkIjoiMDAwMDAiLCJ1c2VySWQiOjF9._9DFzkq-W5KH5S-DK7_m_jUE4uz_kkGOlvwO_fDXMjQ
2026-04-01 23:37:00 [XNIO-1 task-5] INFO  o.r.c.s.listener.UserActionListener - user doLogout, userId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJqOFVrelFBQlZWOTNuYWlJbzlFSkREcjJ3MEpVV3JaMiIsInRlbmFudElkIjoiMDAwMDAiLCJ1c2VySWQiOjF9._9DFzkq-W5KH5S-DK7_m_jUE4uz_kkGOlvwO_fDXMjQ
2026-04-01 23:37:00 [schedule-pool-2] INFO  o.r.s.s.i.SysLogininforServiceImpl - [127.0.0.1]内网IP[admin][Success][登录成功]
2026-04-01 23:37:00 [schedule-pool-5] INFO  o.r.s.s.i.SysLogininforServiceImpl - [127.0.0.1]内网IP[admin][Success][登录成功]
2026-04-01 23:37:00 [schedule-pool-1] INFO  o.r.s.s.i.SysLogininforServiceImpl - [127.0.0.1]内网IP[admin][Success][登录成功]
2026-04-01 23:37:00 [schedule-pool-3] INFO  o.r.s.s.i.SysLogininforServiceImpl - [127.0.0.1]内网IP[admin][Success][登录成功]
2026-04-01 23:37:00 [schedule-pool-4] INFO  o.r.s.s.i.SysLogininforServiceImpl - [127.0.0.1]内网IP[admin][Success][登录成功]
2026-04-01 23:37:00 [XNIO-1 task-3] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-01 23:37:00 [XNIO-1 task-2] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-01 23:37:00 [XNIO-1 task-4] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-01 23:37:00 [XNIO-1 task-6] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-01 23:37:00 [XNIO-1 task-5] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-01 23:37:11 [XNIO-1 task-4] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-01 23:37:11 [XNIO-1 task-2] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-01 23:37:11 [XNIO-1 task-6] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-01 23:37:11 [XNIO-1 task-5] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-01 23:37:11 [XNIO-1 task-3] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-01 23:37:11 [XNIO-1 task-7] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-01 23:37:11 [XNIO-1 task-9] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-01 23:37:11 [XNIO-1 task-8] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-01 23:37:11 [XNIO-1 task-10] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-01 23:37:11 [XNIO-1 task-11] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-01 23:37:11 [XNIO-1 task-12] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-01 23:37:11 [XNIO-1 task-13] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-01 23:37:11 [XNIO-1 task-4] INFO  o.r.c.s.listener.UserActionListener - user doLogin, userId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJzczdCeWVEcGc1OWpJVVJJSU9TWmcxME1Tb0dKUkZQYyIsInRlbmFudElkIjoiMDAwMDAiLCJ1c2VySWQiOjF9.pNQRC2w8ut5Hm1zi9Uy7owg27nX355B84e8R0NeEEGs
2026-04-01 23:37:11 [XNIO-1 task-4] INFO  o.r.c.s.listener.UserActionListener - user doLogout, userId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJaZ3l5STJWSk93aXo1QjJ6ZXYwc0FIajBJbTdKc0xOSSIsInRlbmFudElkIjoiMDAwMDAiLCJ1c2VySWQiOjF9.CpaZ72JoGMyd0LPopkLQXYH9Zwk0ECV2IDSaooNve1k
2026-04-01 23:37:11 [schedule-pool-3] INFO  o.r.s.s.i.SysLogininforServiceImpl - [127.0.0.1]内网IP[admin][Success][登录成功]
2026-04-01 23:37:11 [XNIO-1 task-5] INFO  o.r.c.s.listener.UserActionListener - user doLogin, userId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJqbE1Rem10OHRGRm9NejJZdlNPeHdUU0tRWUhIU2MwYiIsInRlbmFudElkIjoiMDAwMDAiLCJ1c2VySWQiOjF9.IU6E1-p06UtUhG_-LydVKlFYIaF5AdDI5vyJEBCi98A
2026-04-01 23:37:11 [XNIO-1 task-2] INFO  o.r.c.s.listener.UserActionListener - user doLogin, userId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJJZFY4cjEzck11SVo1dTVsaFRTYndHMzVEU2NZdXVwMiIsInRlbmFudElkIjoiMDAwMDAiLCJ1c2VySWQiOjF9.cDxj90a3OChEt0t3mhi_jRbmx6qnxJp5iS-wRppbvY8
2026-04-01 23:37:11 [XNIO-1 task-6] INFO  o.r.c.s.listener.UserActionListener - user doLogin, userId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJuNVNldzlUelQ4VGp6REF6N0tyQnpLc3lBcnh0WkFmMiIsInRlbmFudElkIjoiMDAwMDAiLCJ1c2VySWQiOjF9.X2DMf-c3kTpH6i-Fed1aaPfBzUgGkzZum4eWRtifFm0
2026-04-01 23:37:11 [XNIO-1 task-2] INFO  o.r.c.s.listener.UserActionListener - user doLogout, userId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJpR3FKOENMdW1halQ1RjV4dzBPUFM4MlgxREhDVTJKRiIsInRlbmFudElkIjoiMDAwMDAiLCJ1c2VySWQiOjF9.gzmJureIS4zQ1wqiTLPJxDPFfEWf0bD_GmzUunJ6EBI
2026-04-01 23:37:11 [XNIO-1 task-5] INFO  o.r.c.s.listener.UserActionListener - user doLogout, userId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJpR3FKOENMdW1halQ1RjV4dzBPUFM4MlgxREhDVTJKRiIsInRlbmFudElkIjoiMDAwMDAiLCJ1c2VySWQiOjF9.gzmJureIS4zQ1wqiTLPJxDPFfEWf0bD_GmzUunJ6EBI
2026-04-01 23:37:11 [XNIO-1 task-6] INFO  o.r.c.s.listener.UserActionListener - user doLogout, userId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJpR3FKOENMdW1halQ1RjV4dzBPUFM4MlgxREhDVTJKRiIsInRlbmFudElkIjoiMDAwMDAiLCJ1c2VySWQiOjF9.gzmJureIS4zQ1wqiTLPJxDPFfEWf0bD_GmzUunJ6EBI
2026-04-01 23:37:11 [XNIO-1 task-7] INFO  o.r.c.s.listener.UserActionListener - user doLogin, userId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJOUEZreXBkQXROSXNTWU9GdUNrWU1DS3JFbndxUkpPVSIsInRlbmFudElkIjoiMDAwMDAiLCJ1c2VySWQiOjF9._M1Hp0gqsnaozXLOIZN4L329Nq3W-Gyi62MpkTalvas
2026-04-01 23:37:11 [XNIO-1 task-9] INFO  o.r.c.s.listener.UserActionListener - user doLogin, userId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiI4V2hmd1E5ZGIwOUpKVE5oVVVhUFkwSU1qaEJ5YU5RbiIsInRlbmFudElkIjoiMDAwMDAiLCJ1c2VySWQiOjF9.0MeaUkfKguBf6MiKcg2CYyNvdrkaNOgVSztPgvUqTpU
2026-04-01 23:37:11 [XNIO-1 task-7] INFO  o.r.c.s.listener.UserActionListener - user doLogout, userId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJpR3FKOENMdW1halQ1RjV4dzBPUFM4MlgxREhDVTJKRiIsInRlbmFudElkIjoiMDAwMDAiLCJ1c2VySWQiOjF9.gzmJureIS4zQ1wqiTLPJxDPFfEWf0bD_GmzUunJ6EBI
